_id,skill_tree_id,required_skill_tree_points,name,name_de,name_fr,name_es,name_it,name_jp,description,description_de,description_fr,description_es,description_it,description_jp
65,34,20,Carving God,Zerleger-Gott,Roi dépeceur,Dios cortador,Dio del ricavo,剥ぎ取りマスター,Increases the number of carving chances by one (maybe more) and prevents knockbacks while carving.,Erhöht die Zerlege-Chancen um 1 (vielleicht mehr) und verhindert Rückschläge beim Zerlegen.,Augmente de 1 (parfois plus) les chances de dépeçage et empêche d'être renversé en dépeçant.,Aumenta en una (puede que más) las posibilidades de corte y evita empujones mientras se corta.,Aumenta di almeno una le volte in cui puoi effettuare un ricavo e impedisce di essere spinti via.,剥ぎ取り回数が1回増加し、剥ぎ取り中にのけぞらなくなる。さらに25/32の確率で剥ぎ取り回数がもう1回増える
66,34,15,Carving Celebrity,Zerleger-Promi,Savant dépeceur,Célebre cortante,Celebrità ricavo,剥ぎ取り名人,Increases the number of carving chances by one and prevents knockbacks while carving.,Erhöht die Zerlege-Chancen um 1 und verhindert Rückschläge beim Zerlegen.,Augmente d'un le nombre de chances de dépeçage et empêche d'être touché en dépeçant.,Aumenta las posibilidades de corte y previene empujones mientras se corta.,Aumenta di una le volte in cui puoi effettuare un ricavo e impedisce di essere spinti via.,
67,34,10,Carving Pro,Zerleger-Profi,Expert dépeceur,Experto cortador,Esperto ricavo,剥ぎ取り鉄人,Prevents knockbacks from attacks while carving.,Verhindert Rückschläge durch Angriffe beim Zerlegen.,Empêche de tomber à la renverse à cause des attaques lorsque vous dépecez.,Previene empujones mientras se está cortando.,Impedisce di essere spinti via durante il ricavo.,剥ぎ取り中にのけぞらなくなる
68,35,20,Miraculous Luck,Glücksverstärker,Grande fortune,Suerte +2,Gran fortuna,激運,Very often increases the number of Reward Items received at the end of a Quest.,Erhöht sehr oft die Zahl der Belohnungsobjekte am Ende einer Quest.,Augmente très souvent le nombre de récompenses reçues à la fin d'une quête.,Muy a menudo aumenta el número de objetos de recompensa por acabar una misión.,Aumenta molto spesso il numero di oggetti premio ricevuti alla fine di una missione.,クエストクリア報酬の抽選で報酬を入手できる確率が通常の22/32から31/32になる。
69,35,15,Great Luck,Glückserhöher,Bonne fortune,Suerte +1,Più fortuna,強運,Often increases the number of Reward Items received at the end of a Quest.,Erhöht oft die Zahl der Belohnungsobjekte am Ende einer Quest.,Augmente souvent le nombre de récompenses reçues à la fin d'une quête.,Suele aumentar el número de objetos de recompensa recibidos al final de una misión.,Aumenta spesso il numero di oggetti premio ricevuti alla fine di una missione.,クエストクリア報酬の抽選で報酬を入手できる確率が通常の22/32から28/32になる。
70,35,10,Good Luck,Glück,Chance,Suerte,Fortuna,幸運,Sometimes increases the number of Reward Items received at the end of a Quest.,Erhöht manchmal die Zahl der Belohnungsobjekte am Ende einer Quest.,Augmente parfois le nombre de récompenses reçues à la fin d'une quête.,A veces aumenta el número de objetos de recompensa por acabar una misión.,A volte aumenta il numero di oggetti premio ricevuti alla fine di una missione.,クエストクリア報酬の抽選で報酬を入手できる確率が通常の22/32から25/32になる。
71,35,-10,Bad Luck,Pech,Malchance,Suerte -1,Sfortuna,不運,Sometimes decreases the number of Reward Items received at the end of a Quest.,Verringert manchmal die Zahl der Belohnungsobjekte am Ende einer Quest.,Réduit parfois le nombre de récompenses reçues à la fin d'une quête.,A veces reduce el número de objetos de recompensa por acabar una misión.,A volte riduce il numero di oggetti premio ricevuti alla fine di una missione.,クエストクリア報酬の抽選で報酬を入手できる確率が通常の22/32から16/32になる。
72,35,-15,Horrible Luck,Unglück,Mauvaise fortune,Suerte -2,Gran sfortuna,災難,Often decreases the number of Reward Items received at the end of a Quest.,Verringert oft die Zahl der Belohnungsobjekte am Ende einer Quest.,Réduit souvent le nombre de récompenses reçues à la fin d'une quête.,A menudo reduce el número de objetos de recompensa por acabar una misión.,Riduce spesso il numero di oggetti premio ricevuti alla fine di una missione.,クエストクリア報酬の抽選で報酬を入手できる確率が通常の22/32から8/32になる。
73,36,20,Capture God,Fanggott,Roi capture,Dios capturador,Premi +3,捕獲マスター,Very often increases the number of Reward Items received for captures.,Erhöht sehr oft die Zahl der Belohnungsobjekte fürs Fangen.,Augmente massivement la probabilité d'obtenir plus de récompenses pour les captures.,Aumenta muchísimo la probabilidad de obtener más objetos de recompensa por capturas.,Aumenta molto spesso il numero di oggetti premio ricevuti per le catture.,モンスター捕獲時の捕獲報酬枠が2～3枠から4枠に増える
74,36,15,Capture Master,Fangmeister,Expert capture,Maestro capturas,Premi +2,捕獲名人,Often increases the number of Reward Items received for captures.,Erhöht oft die Zahl der Belohnungsobjekte fürs Fangen.,Augmente beaucoup la probabilité d'obtenir plus de récompenses pour les captures.,Aumenta mucho la probabilidad de obtener más objetos de recompensa por capturas.,Aumenta spesso il numero di oggetti premio ricevuti per le catture.,モンスター捕獲時の捕獲報酬枠が2～3枠から3～4枠に増える
75,36,10,Capture Expert,Fangexperte,Maître capture,Experto capturas,Premi +1,捕獲達人,Sometimes increases the number of Reward Items received for captures.,Erhöht manchmal die Zahl der Belohnungsobjekte fürs Fangen.,Augmente la probabilité d'obtenir plus de récompenses pour les captures.,Aumenta la probabilidad de obtener más objetos de recompensa por capturas.,A volte aumenta il numero di oggetti premio ricevuti per le catture.,モンスター捕獲時の捕獲報酬枠が2～3枠から3枠に増える
76,37,30,Critical God,Kritischer Gott,Vision critique,Dios crítico,Affinità +5,見切りマスター,Increases Affinity by 30%.,Erhöht Affinität um 30%.,Augmente l'affinité de 30%.,Aumenta la afinidad un 30%.,Aumenta l'affinità del 30%.,会心率+30%
78,37,20,Critical Eye +3,Krit. Auge +3,Œil critique +3,Ojo crítico +3,Affinità +3,見切り+3,Increases Affinity by 20%.,Erhöht Affinität um 20%.,Augmente l'affinité de 20%.,Aumenta la afinidad un 20%.,Aumenta l'affinità del 20%.,会心率+20%
79,37,15,Critical Eye +2,Krit. Auge +2,Œil critique +2,Ojo crítico +2,Affinità +2,見切り+2,Increases Affinity by 15%.,Erhöht Affinität um 15%.,Augmente l'affinité de 15%.,Aumenta la afinidad un 15%.,Aumenta l'affinità del 15%.,会心率+15%
80,37,10,Critical Eye +1,Krit. Auge +1,Œil critique +1,Ojo crítico +1,Affinità +1,見切り+1,Increases Affinity by 10%.,Erhöht Affinität um 10%.,Augmente l'affinité de 10%.,Aumenta la afinidad un 10%.,Aumenta l'affinità del 10%.,会心率+10%
81,37,-10,Critical Eye -1,Krit. Auge -1,Œil critique -1,Ojo crítico -1,Affinità -1,見切り-1,Decreases Affinity by 5%.,Verringert Affinität um 5%.,Diminue l'affinité de 5%.,Reduce la afinidad un 5%.,Riduce l'affinità del 5%.,会心率-5%
82,37,-15,Critical Eye -2,Krit. Auge -2,Œil critique -2,Ojo crítico -2,Affinità -2,見切り-2,Decreases Affinity by 10%.,Verringert Affinität um 10%.,Diminue l'affinité de 10%.,Reduce la afinidad un 10%.,Riduce l'affinità del 10%.,会心率-10%
83,37,-20,Critical Eye -3,Krit. Auge -3,Œil critique -3,Ojo crítico -3,Affinità -3,見切り-3,Decreases Affinity by 15%.,Verringert Affinität um 15%.,Diminue l'affinité de 15%.,Reduce la afinidad un 15%.,Riduce l'affinità del 15%.,会心率-15%
84,38,20,Artillery God,Artilleriegott,Artilleur champion,Dios artillero,Artigliere +3,砲術マスター,"Greatly increases power of Ballista, Cannon, Gunlance, Wyvern's Fire & Crag shots, Impact C. Blade phials.","Erhöht Kraft v. Ballista, Kanone, Gewehrlanze, Wyvernfeuer, Explosiv S u. Aufprall-Phiolen stark.","Augm. grandement la puissance de : baliste, canon, lnccanon, feu wyv., mn antibl. et fioles v.-hch impact.","Gran aumento de potenc. de balista, cañón, lanza pistola, fuego de wyv., disp. explosivo, frascos carg. imp.","Potenzia molto P esplosivi, cannone, balista, LFuc., fuoco di wyvern e boccette spad-ascia car. a impatto.",バリスタ、大砲、ガンランスの砲撃、竜撃砲の攻撃力が1.3倍になる。チャージアックスの榴弾ビン、徹甲榴弾の威力が1.4倍になる。竜撃砲の冷却時間が120秒から80秒に短縮される
85,38,15,Artillery Expert,Artillerieexper.,Artilleur expert,Artillería +2,Artigliere +2,砲術王,"Increases power of Ballista, Cannon, Gunlance, Wyvern's Fire & Crag shots, Impact C. Blade phials.","Erhöht Kraft v. Ballista, Kanone, Gewehrlanze, Wyvernfeuer, Explosiv S u. Aufprall-Phiolen.","Augmente la puissance de : baliste, canon, lancecanon, feu wyverne, mn antibl. et fioles v.-hch impact.","Más potencia de balista, cañón, lanza pistola, fuego de wyvern, disp. explosivo, frascos carg. imp.","Potenzia P esplosivi, cannone, balista, LFuc., fuoco di wyvern e boccette spad-ascia car. a impatto.",バリスタ、大砲、ガンランスの砲撃、竜撃砲の攻撃力が1.2倍になる。チャージアックスの榴弾ビン、徹甲榴弾の威力が1.3倍になる。竜撃砲の冷却時間が120秒から90秒に短縮される
86,38,10,Artillery Novice,Artillerienovize,Artilleur novice,Artillería +1,Artigliere +1,砲術師,"Slightly increases power of Ballista, Cannon, Gunlance, Wyvern's Fire & Crag shots, Impact C. Blade phials.","Erhöht Kraft v. Ballista, Kanone, Gewehrlanze, Wyvernfeuer, Explosiv S u. Aufprall-Phiolen leicht.","Augm. légèrement la puissance de : baliste, canon, lnccanon, feu wyv., mn antibl. et fioles v.-hch impact.","Algo más de potencia de balista, cañón, lanza pistola, fuego de wyv., disp. explosivo, frascos carg. imp.","Potenzia poco P esplosivi, cannone, balista, LFuc., fuoco di wyvern e boccette spad-ascia car. a impatto.",バリスタ、大砲、ガンランスの砲撃、竜撃砲の攻撃力が1.1倍になる。チャージアックスの榴弾ビン、徹甲榴弾の威力が1.15倍になる
87,39,20,Evasion +3,Ausweichen +3,Évasion +3,Evasión +3,Schivata +3,回避性能+3,Greatly extends the invulnerability period when evading.,Verlängert die Unverwundbarkeitsdauer beim Ausweichen stark.,Prolonge grandement la durée d'invincibilité en cas d'évasion.,Extiende mucho el periodo de invulnerabilidad al evadir.,Prolunga molto il periodo di invulnerabilità di una schivata.,回転回避やステップの無敵時間が通常の0.2秒から0.6秒に延長される
88,39,15,Evasion +2,Ausweichen +2,Évasion +2,Evasión +2,Schivata +2,回避性能+2,Extends the invulnerability period when evading.,Verlängert die Unverwundbarkeitsdauer beim Ausweichen.,Prolonge la durée d'invincibilité en cas d'évasion.,Extiende el periodo de invulnerabilidad al evadir.,Prolunga il periodo di invulnerabilità di una schivata.,回転回避やステップの無敵時間が通常の0.2秒から0.4秒に延長される
89,39,10,Evasion +1,Ausweichen +1,Évasion +1,Evasión +1,Schivata +1,回避性能+1,Slightly extends the invulnerability period when evading.,Verlängert die Unverwundbarkeitsdauer beim Ausweichen leicht.,Prolonge légèrement la durée d'invincibilité en cas d'évasion.,Extiende algo el periodo de invulnerabilidad al evadir.,Prolunga leggermente il periodo di invulnerabilità di una schivata.,回転回避やステップの無敵時間が通常の0.2秒から0.33秒に延長される
90,39,-10,Evasion Down,Ausweich. runter,Évasion -,Evasión -1,Schivata -1,回避性能DOWN,Reduces the invulnerability period when evading.,Verringert die Unverwundbarkeitsdauer beim Ausweichen.,Diminue la durée d'invincibilité en cas d'évasion.,Reduce el periodo de invulnerabilidad durante la evasión.,Riduce il periodo di invulnerabilità di una schivata.,回転回避やステップの無敵時間が通常の0.2秒から0.1秒に短縮される
91,40,15,Health +50,Gesundheit +50,Vie +50,Salud +50,Vita +50,体力+50,Increases maximum Health by 50.,Erhöht die maximale Gesundheit um 50.,Augmente de 50 la vie maximale.,Aumenta la salud máxima en 50.,Aumenta la vita massima di 50 punti.,体力最大値+50
92,40,10,Health +20,Gesundheit +20,Vie +20,Salud +20,Vita +20,体力+20,Increases maximum Health by 20.,Erhöht die maximale Gesundheit um 20.,Augmente de 20 la vie maximale.,Aumenta la salud máxima en 20.,Aumenta la vita massima di 20 punti.,体力最大値+20
93,40,-10,Health -10,Gesundheit -10,Vie -10,Salud -10,Vita -10,体力-10,Decreases maximum Health by 10.,Verringert die maximale Gesundheit um 10.,Réduit de 10 la vie maximale.,Reduce la salud máxima en 10.,Riduce la vita massima di 10 punti.,体力最大値-10
94,40,-15,Health -30,Gesundheit -30,Vie -30,Salud -30,Vita -30,体力-30,Decreases maximum Health by 30.,Verringert die maximale Gesundheit um 30.,Réduit de 30 la vie maximale.,Reduce la salud máxima en 30.,Riduce la vita massima di 30 punti.,体力最大値-30
95,41,15,HG Earplugs,Best. Ohrstöpsel,Bouche-oreilles,Tapones +2,Tappi orecchie +,高級耳栓,Negates the effects of all large monsters' roars.,Negiert die Wirkung des Gebrülls aller großen Monster.,Annule les effets des rugissements de tous les grands monstres.,Anula el efecto de todos los rugidos de monstruos grandes.,Annulla gli effetti dei ruggiti di tutti i mostri grandi.,咆哮【小】と咆哮【大】を無効化。ダメージ有りの咆哮は防げない
96,41,10,Earplugs,Ohrstöpsel,Protège-tympan,Tapones +1,Tappi orecchie,耳栓,Negates the effects of some large monsters' roars.,Negiert die Wirkung des Gebrülls mancher großer Monster.,Annule les effets des rugissements de certains grands monstres.,Anula el efecto del rugido de algunos monstruos grandes.,Annulla gli effetti dei ruggiti di alcuni mostri grandi.,咆哮【小】を無効化
97,42,10,Razor Sharp,Scharfschwert,Samouraï,Filo de cuchilla,Lama affilata,業物,Halves the rate at which your weapon loses Sharpness.,"Halbiert die Rate, mit der deine Waffe Schärfe verliert.",Votre arme perd de son tranchant deux fois moins vite.,Divide por 2 la velocidad de pérdida de afilado del arma.,Dimezza la velocità con cui la tua arma perde acutezza quando attacchi.,通常攻撃、ガンランスの砲撃、竜撃砲、大剣やチャージアックスのガードによる斬れ味低下が1/2になる。攻撃がはじかれなかった時は1/2で斬れ味が低下しない
98,42,-10,Blunt Edge,Stumpf,Barbare,Filo romo,Lama smussata,なまくら,Doubles the rate at which your weapon loses Sharpness.,"Verdoppelt die Rate, mit der deine Waffe Schärfe verliert.",Votre arme perd de son tranchant deux fois plus vite.,Dobla la velocidad de pérdida de afilado del arma.,Raddoppia la velocità con cui la tua arma perde acutezza quando attacchi.,斬れ味の消耗が倍になる
99,43,15,Guard +2,Block +2,Garde +2,Guardia +2,Guardia +2,ガード性能+2,Greatly increases the likelihood of standing your ground when blocking an attack.,"Macht viel wahrscheinlicher, dass du beim Blocken deine Stellung hältst.",Augmente grandement la probabilité de rester debout en bloquant une attaque.,Aumenta mucho la probabilidad de mantener el terreno al bloquear un ataque.,Aumenta molto la probabilità di resistere al colpo quando blocchi un attacco.,ガードした時の後退を抑え、ガード時の威力を20軽減
100,43,10,Guard +1,Block +1,Garde +1,Guardia +1,Guardia +1,ガード性能+1,Increases the likelihood of standing your ground when blocking an attack.,"Macht wahrscheinlicher, dass du beim Blocken deine Stellung hältst.",Augmente la probabilité de rester debout en bloquant une attaque.,Aumenta la probabilidad de mantener el terreno al bloquear un ataque.,Aumenta la probabilità di resistere al colpo quando blocchi un attacco.,ガードした時の後退を抑え、ガード時の威力を10軽減
101,43,-10,Guard -1,Block -1,Garde -1,Guardia -1,Guardia -1,ガード性能-1,Decreases the likelihood of standing your ground when blocking an attack.,"Macht es unwahrscheinlicher, dass du nach dem Blocken deine Stellung hältst.",Réduit la probabilité de rester debout en bloquant une attaque.,Reduce la probabilidad de mantener el terreno al bloquear un ataque.,Riduce la probabilità di resistere al colpo quando blocchi un attacco.,ガードした時に後退しやすくなり、ガード時の威力が10増える
102,44,10,Guard Boost,Blockstrkng,Paladin,Escudo,Blocco +,ガード強化,Causes previously unblockable attacks to become blockable.,Macht vormals unblockbare Angriffe blockbar.,Vous pouvez maintenant bloquer les attaques imparables.,Hace que ataques que no eran bloqueables se hagan bloqueables.,Rende bloccabili attacchi che prima non lo erano.,通常ガード不能の攻撃がガードできるようになる。特定の攻撃をガードした時に一部アイテム使用不可状態、防御DOWN状態にならない
103,45,10,Speed Sharpening,Schnell Schärfen,Aiguisage rapide,Afilado rápido,Affilatura +,砥石使用高速化,Speeds up weapon sharpening.,Beschleunigt die Waffenschärfung.,Vous aiguisez votre arme plus vite.,Acelera el afilado de armas.,Accelera l'affilamento dell'arma.,砥石系アイテム研ぎ時間が短くなる。通常の4回から1回になる。
104,45,-10,Slow Sharpening,Langs. Schärfen,Aiguisage lent,Afilado lento,Affilatura -,砥石使用低速化,Slows down weapon sharpening.,Verlangsamt die Waffenschärfung.,Vous aiguisez votre arme moins vite.,Reduce el afilado de armas.,Rallenta l'affilamento dell'arma.,砥石系アイテム研ぎ時間が長くなる。通常の4回から5回になる。
105,46,15,Adrenaline +2,Adrenalin +2,Adrénaline +2,Adrenalina +2,Adrenalina +2,火事場力+2,Greatly increases Attack and Defense when Health is below 40% of the maximum amount.,"Angriff und Verteidigung steigen stark, wenn Gesundheit unter 40% des Max. sinkt.",Augmente grandement l'attaque et la défense quand la vie est inférieure à 40% du maximum.,Aumenta mucho el ataque y la defensa con la salud por debajo del 40% de su cantidad máxima.,Aumenta molto attacco e difesa quando la vita è al di sotto del 40%.,体力が40%以下になると防御力が+30から+45に増加。攻撃力1.3倍
106,46,10,Adrenaline +1,Adrenalin +1,Adrénaline +1,Adrenalina +1,Adrenalina +1,火事場力+1,Greatly increases Defense when Health is below 40% of the maximum amount.,"Verteidigung steigt stark, wenn die Gesundheit unter 40% des Maximalwerts sinkt.",Augmente grandement la défense quand la vie est inférieure à 40% du maximum.,Aumenta mucho la defensa cuando la salud está por debajo del 40% de su cantidad máxima.,Aumenta molto la difesa se la barra vita è al di sotto del 40%.,体力が40%以下になると防御力が+30から+45に増加。
107,46,-10,Worrywart,Pessimist,Inquiétude,Agobiado,Inquietudine,心配性,Decreases Defense boost and Attack when Health is below 40% of the maximum amount.,Bei Gesundheit unter 40% des Maximums verringern sich Verteidigung und Angriff.,Réduit le bonus de défense et l'attaque quand la vie est inférieure à 40% du maximum.,Reduce la potencia de defensa y ataque cuando el nivel de salud es inferior al 40% del total.,Riduce il bonus di attacco e difesa se la vita è al di sotto del 40%.,体力が40%以下になると防御力が+30から+21に減少。攻撃力0.7倍
108,47,10,Bombardier,Bombardier,Bombardier,Bombardero,Bombarolo,ボマー,"Increases bomb damage, and raises the Combination success rate for all bombs to 100%.",Erhöht Bombenschaden; 100% Kombinier- Erfolgsrate für alle Bomben.,Augmente les dégâts des bombes et passe à 100% les chances de combinaison des bombes.,Aumenta el daño de bomba y la probabilidad de combinación de todas las bombas al 100%.,Aumenta i danni delle bombe. Il successo di combinazione delle bombe è del 100%.,爆弾のダメージが1.3倍になる。爆破属性の蓄積値が1.2倍になる(ネコの火薬術と併用で1.25倍上限)。爆弾調合成功率が100％になる
109,48,15,Status Atk +2,Statusangriff +2,Affliction +2,Estado anormal +2,Att. status +2,状態異常攻撃+2,Increases the potency of abnormal status attacks.,Erhöht die Kraft von anormalen Angriffen.,Augmente la puissance des attaques à statut anormal.,Aumenta la potencia de ataques de estados anormales.,Aumenta la potenza degli attacchi con status alterato.,毒、麻痺、睡眠、捕獲麻酔の属性値が1.2倍+10になる
110,48,10,Status Atk +1,Statusangriff +1,Affliction +1,Estado anormal +1,Att. status +1,状態異常攻撃+1,Slightly increases the potency of abnormal status attacks.,Erhöht die Kraft von anormalen Angriffen leicht.,Augmente légèrement la puissance des attaques à statut anormal.,Aumenta ligeramente la potencia de ataques de estados anormales.,Aumenta leggermente l'efficacia degli attacchi con status alterato.,毒、麻痺、睡眠、捕獲麻酔の属性値が1.1倍+10になる
111,48,-10,Status Atk Down,Statusa. runter,Affliction -,Estado anormal -1,Att. status -1,状態異常攻撃弱化,Decreases the potency of abnormal status attacks.,Verringert die Kraft von anormalen Angriffen.,Réduit la puissance des attaques à statut anormal.,Reduce la potencia de ataques de estados anormales.,Riduce la forza degli attacchi con status alterato.,毒、麻痺、睡眠、捕獲麻酔の属性値が0.9倍になる
112,49,10,Marathon Runner,Läufer,Marathonien,Corredor +1,Resistenza +,ランナー,Slows down Stamina depletion for actions which continuously drain Stamina (such as dashing).,"Verlangsamt Ausdauerverlust bei Aktionen, die ständig Aus- dauer entziehen (z. B. Sprints).",La stamina diminue moins vite durant les actions utilisant progressivement de la stamina.,Ralentiza el uso de resistencia de acciones que requieren un consumo continuo (como correr).,Rallenta il consumo di resistenza per azioni prolungate (come lo scatto).,ダッシュ、鬼人状態、突進、溜め時などのスタミナ消費量が1/2になる
113,49,-10,Short Sprinter,Sprinter,Sprinter,Corredor -1,Resistenza -,鈍足,Speeds up Stamina depletion for actions which continuously drain Stamina (such as dashing).,"Beschleunigt Ausdauerverlust bei Aktionen, die ständig Aus- dauer entziehen (z. B. Sprints).",La stamina diminue plus vite durant les actions utilisant progressivement de la stamina.,Acelera el uso de resistencia de acciones que requieren un consumo continuo (como correr).,Accelera il consumo di resistenza per azioni prolungate (come lo scatto).,ダッシュ、鬼人状態、突進、溜め時などのスタミナ消費量が2倍になる
114,50,10,Partbreaker,Teilebrecher,Destructeur,Destructor,Spaccamostri,破壊王,Makes it easier to break or sever parts of large monsters.,Erleichtert das Abbrechen oder Abtrennen großer Monster-Körperteile.,Vous brisez ou coupez plus facilement les parties faibles des grands monstres.,Hace más fácil romper o cortar partes de monstruos grandes.,"Rende più facile ferire, rompere o tagliare parti dei mostri grandi.",部位破壊の蓄積値が1.3倍になり、モンスターがひるみやすくなる。部位耐久値へのダメージが増えるだけで体力を減らすダメージは増えない。部位破壊後は効果が無い
115,51,10,Evade Extender,Ausweichen hoch,Esquive +,Distancia evasión,Schivatore +,回避距離UP,Increases evade distance.,Erhöht die Ausweichentfernung.,Augmente la distance d'évasion.,Aumenta la distancia de evasión.,Aumenta la distanza di schivata.,回転回避やステップの移動距離が1.5倍に伸びる
116,52,10,Quick Sheath,Schn. Wegstecken,Lame éclair,Vaina rápida,Rinfodero rapido,納刀術,Increases weapon-sheathing speed.,Erhöht die Geschwindigkeit für das Wegstecken von Waffen.,Augmente la vitesse de rengainage des armes.,Aumenta la velocidad de desenfundadura de las armas.,Aumenta la velocità con cui rinfoderi le armi.,武器を納める速度が上がる
117,53,10,Focus,Fokus,Concentration,Concentración,Carica rapida,集中,"Speeds charge of L. Sword/S. Axe/ D. Blades gauges, C. Blade phials, Bow/G. Sword/Hammer charge atks.","Schnellere Ladung f. L.Schwert/M.Axt/ D.Klingen-Balken, E.Klinge-Phiolen u. Bogen/G.Schwert/Hammer-Ladeangr.","Accélère chargement jauges ép. lng/ m.-hch/lm dbl, fioles v.-hch impact, attaques chargées arc/gr. ép./mrt.","Acelera carga indicador esp. l./ hacha e./esp. d., fras. esp. c., atq. carga arco/g. esp./mart.","Carica rapida di spada l., d. lame, spad-ascia, bocc. spad-ascia car. e att. car. arco, spadone e martello.",大剣、ハンマー、弓の溜め時間が0.8倍になり、太刀、双剣、スラッシュアックスのゲージが溜まりが1.2倍になる。
118,53,-10,Distraction,Ablenkung,Distraction,Distracción,Carica lenta,雑念,"Slows charge of L. Sword/S. Axe/ D. Blades gauges, C. Blade phials, Bow/G. Sword/Hammer charge atks.","Verlangsamt Ladung f. L.Schwert/M.- Axt/D.Klingen-Balken, E.Klinge-Phiolen u. Bogen/G.Schwert/Hammer-Ladeangr.","Ralentit chargement jauges ép. lng/ m.-hch/lm dbl, fioles v.-hch impact, attaques chargées arc/gr. ép./mrt.","Ralentiza carga indicador esp. l./ hacha e./esp. d., fras. esp. c., atq. carga arco/g. esp./mart.","Carica lenta di spada l., d. lame, spad-ascia, bocc. spad-ascia car. e att. car. arco, spadone e martello.",大剣、ハンマー、弓の溜め時間が1.2倍になり、太刀、双剣、スラッシュアックスのゲージが溜まりが0.8倍になる。
119,54,10,Stamina Thief,Ausdauerdieb,Vol de stamina,Robarresistencia,Ruba resistenza,スタミナ奪取,Increases certain attacks' ability to Exhaust monsters.,"Erhöht das Potenzial bestimmter Angriffe, Monster zu ermüden.",Augmente votre capacité à épuiser les monstres.,Aumenta la capacidad de ciertos ataques de agotar a monstruos.,Aumenta la capacità di determinati attacchi di affaticare i mostri.,打撃属性(抜刀術【力】の斬撃、ボウガンの減気弾、弓の曲射、減気ビンを含む)によるスタミナダメージ値が1.2倍になる
120,55,10,Peak Performance,Höchstleistung,Perfection,Plena forma,Forma perfetta,フルチャージ,Increases Attack when your Health Gauge is full.,"Erhöht Angriff, wenn dein Gesundheitsbalken gefüllt ist.",Augmente l'attaque quand votre jauge de vie est pleine.,Aumenta el ataque cuando el indicador de salud está al máximo.,Aumenta l'attacco quando la tua barra vita è piena.,体力が最大の時に攻撃力が上がる。基本攻撃力+20
121,56,10,Guts,Mut,Bravoure,Tripas,Coraggio,根性,Prevents fainting a single time if struck with a lethal blow when a certain amount of Health remains.,,,,,体力が64以上残っている場合、それ以上の攻撃を受けても力尽きずギリギリで踏みとどまる。一回発動すると効果が失われるが、力尽きると再度効果が発生する
122,57,10,Load Up,Kapazität hoch,Munitions +,Carga+,Cartucciera +,装填数UP,"Increases Bowguns and Gunlance ammo capacity, C. Blade phials, and charge attack capacity of Bows.","Erhöht Kapazität v. Bogengewehr- u. Gewehrlanze-Munition, E.Klinge- Phiolen u. Bogen-Ladeangriffen.","Augm. capacité de mun. fusarbalètes et lancecanons, fioles volto-haches et attaques chargées des arcs.","Aumenta capac. munición balles. y lanza pistola, frascos esp. c. y capac. ataque cargado de arcos.","Aumenta la capacità di balestre e lance-fucili, bocc. spad-ascia car. e degli attacchi caricati dell'arco.",ボウガンの装填数や、弓の溜め段階が1つ増加する(最大4段階まで)。ガンランスの砲撃やチャージアックスの装填数も増える
123,58,10,Normal/Rapid Up,Norm./Schn. hoch,Normale/Rapide +,Normal/salva+,Normale/Rapido +,通常弾・連射矢UP,Increases the power of Normal shots (Normal S) and Rapid-type arrows.,Erhöht die Kraft von Normal- Schüssen (Normal S) und schnellen Pfeilen.,Augmente la puissance des munitions normales (Mn Normales) et des flèches rapides.,Aumenta la potencia de disparos normales y flechas en salva.,Aumenta la potenza di proiettili normali (P normali) e frecce rapide.,通常弾、連射矢の威力が1.1倍になる
124,59,10,Pierce/Pierce Up,Perf./Perf. hoch,Perçante/Perç.+,Perforante+,Perforante +,貫通弾・貫通矢UP,Increases the power of Pierce shots (Pierce S) and Pierce-type arrows.,Erhöht die Kraft von Perforieren- Schüssen (Perfor S) und Perforieren-Pfeilen.,Augmente la puissance des munitions perçantes (Mn Perçantes) et des flèches perçantes.,Aumenta la potencia de disparos perforadores y flechas perforantes.,Aumenta la potenza di proiettili perforanti (P perforanti) e frecce perforanti.,貫通弾、貫通矢の威力が1.1倍になる
125,60,10,Pellet/Spread Up,Schr/StrPf hoch,Plomb/Dispers. +,Perdigón/abanico+,Ventaglio +,散弾・拡散矢UP,Increases the power of Pellet shots (Pellet S) and Spread-type arrows.,Erhöht die Kraft von Schrot- Schüssen (Schrot S) und Streupfeilen.,Augmente la puissance des munitions de plomb (Mn Plomb) et des flèches dispersées.,Aumenta la potencia de disparos de perdigón y flechas en abanico.,Aumenta la potenza di proiettili a ventaglio (P ventaglio) e frecce a rosa.,散弾の威力が1.2倍になる。拡散矢の威力が1.3倍になる
126,61,10,Knockout King,Knock-out-König,Roi du KO,Boxeador,Storditore,KO術,Makes it easier to Stun monsters.,"Erhöht die Wahrscheinlichkeit, Monster zu betäuben.",Augmente la probabilité d'étourdir les monstres.,Facilita aturdir monstruos.,Facilita lo stordimento dei mostri.,与えられる気絶値が1.1倍になる。操虫棍の猟虫による打撃には効果無し
127,62,10,Iron Skin,Eisenhaut,Peau d'acier,Piel de hierro,Pelle di ferro,鉄面皮,Negates the effects of Defense Down.,"Negiert den Effekt von ""Verteidigung -"".",Annule les effets de Défense -.,Anula los efectos de defensa reducida.,Annulla gli effetti di Difesa -.,防御力DOWN状態を無効化
