_id,name,name_de,name_fr,name_es,name_it,name_jp,type,sub_type,rarity,carry_capacity,buy,sell,description,icon_name,armor_dupe_name_fix
692,Rathalos Tail,Rathalos-Schwanz,Queue Rathalos,Cola de Rathalos,Rathalos: coda,火竜の尻尾,Flesh,,4,99,,1200,The severed tail of a Rathalos. It has any number of uses.,Carapace-Red.png,
693,Rathalos Lash,Rathalos-Peitsche,Fouet Rathalos,Látigo de Rathalos,Rathalos: frusta,火竜の靭尾,Flesh,,8,99,,7200,"A top-grade Rathalos tail. Strong ones like this are precious, and only used in select equipment.",Carapace-Red.png,
694,Rathalos Plate,Rathalos-Platte,Plaque Rathalos,Quilla de Rathalos,Rathalos: piastra,火竜の逆鱗,Flesh,,5,99,,4850,A searing tail scale. Hard to come by and as fiery as the wyvern it came from.,Scale-Red.png,
695,Rathalos Ruby,Rathalos-Rubin,Rubis Rathalos,Rubí de Rathalos,Rathalos: rubino,火竜の紅玉,Flesh,,7,99,,9700,A rare gem formed inside a Rathalos. It seems almost too nice to forge with.,Monster-Jewel-Red.png,
696,Rathalos Mantle,Rathalos-Hülle,Mante Rathalos,Manto de Rathalos,Rathalos: mantello,火竜の天鱗,Flesh,,9,99,,15000,A legendary Rathalos scale. Those who craft it are said to rule the earth and seize the sky.,Mantle-Red.png,
697,A.Rathalos Scale+,AzurRathalosSchuppe+,Écaille Ratha azur +,Escama de Rathal-C+,Rathalos az: scagl.+,蒼火竜の上鱗,Flesh,,6,99,,1960,,Scale-Blue.png,
698,A.Rathalos Shard,AzrnRathalosScherbe,Éclat Rathalos azur,Piedra Rathal-C,Rathalos az: framm.,蒼火竜の厚鱗,Flesh,,8,99,,5880,An Azure Rathalos part made of several overlapping scales. It boasts beauty and strength.,Scale-Blue.png,
699,A.Rathalos Carapace,AzurRathalosRückpnzr,Cuiras Rathalos azur,Coraza de Rathal-C,Rathalos az: carap.,蒼火竜の堅殻,Flesh,,6,99,,2600,,Shell-Blue.png,
700,A.Rathalos Cortex,AzurnRathalosKortex,Cortex Rathalos azur,Placa de Rathal-C,Rathalos az: cortec.,蒼火竜の重殻,Flesh,,8,99,,7800,,Shell-Blue.png,
701,A.Rathalos Tail,AzurnRathalosSchwanz,Queue Rathalos azur,Cola de Rathal-C,Rathalos az: coda,蒼火竜の尻尾,Flesh,,6,99,,1800,The severed tail of an Azure Rathalos. It fetches a high price due to its rarity.,Carapace-Blue.png,
702,A.Rathalos Lash,AzurRathalosPeitsche,Fouet Rathalos azur,Látigo de Rathal-C,Rathalos az: frusta,蒼火竜の靭尾,Flesh,,8,99,,9000,A top-grade Azure Rathalos tail. Strong ones like this are prized by all and sold at high prices.,Carapace-Blue.png,
703,A.Rathalos Wing,AzurnerRathalosFlügl,Aile Rathalos azur,Ala de Rathalos-C,Rathalos az: ala,蒼火竜の翼,Flesh,,6,99,,3825,A wing that has been removed. Excellent for forging both weapons and armor.,Carapace-Blue.png,
704,S.Rathalos Scale+,SilbRathalosSchuppe+,Écaille Rathal arg +,Escama Rath plat.+,Rathalos ar: scagl.+,銀火竜の上鱗,Flesh,,6,99,,2200,,Scale-White.png,
705,S.Rathalos Shard,SilbRathalosScherbe,Éclat Rathalos arg,Piedra Rathal-P,Rathalos ar: framm.,銀火竜の厚鱗,Flesh,,8,99,,6600,A Silver Rathalos part made of several overlapping scales. Makes for a nice silver accessory.,Scale-White.png,
706,S.Rathalos Carapace,SilbRthlosRücknPanzr,Cuirasse Rathalos arg,Coraza Rathalos plat.,Rathalos ar: carap.,銀火竜の堅殻,Flesh,,6,99,,3900,,Shell-White.png,
707,S.Rath Cortex,SilberRathalosKortex,Cortex Rathalos arg,Placa de Rathal-P,Rathalos ar: cortec.,銀火竜の重殻,Flesh,,8,99,,8775,"A heavy Silver Rathalos cortex. This legendary item shines like moonlight, even in darkness.",Shell-White.png,
708,S.Rathalos Tail,SilbRathalosSchwanz,Queue Rathalos arg,Cola Rathalos plat.,Rathalos ar: coda,銀火竜の尻尾,Flesh,,6,99,,4800,,Carapace-White.png,
709,S.Rath Lash,SilbRathalosPeitsche,Fouet Rathalos arg,Látigo de Rathal-P,Rathalos ar: frusta,銀火竜の靭尾,Flesh,,8,99,,9600,,Carapace-White.png,
710,Rath Wingtalon,Rath-Flügelkralle,Griffe Rath,Garra de Rath,Rath: sperone,火竜の翼爪,Flesh,,4,99,,600,,Fang-Red.png,
711,Rath Wingtalon+,RathalosFlüglkralle+,Déchireur Rathalos,Espolón de Rath,Rathalos: bisturi,火竜の剛翼爪,Flesh,,8,99,,5400,,Fang-Red.png,
712,Rath Marrow,Rath-Mark,Moelle Rath,Tuétano de Rath,Rath: midollo,火竜の骨髄,Flesh,,5,99,,2100,Recent advances allow this marrow to be extracted. It ignites on air contact.,Carapace-Red.png,
713,Rath Medulla,Rath-Rückenmark,Medulla Rath,Médula de Rath,Rath: bulbo,火竜の延髄,Flesh,,7,99,,6300,"Recent advances allow this red hot organ to be removed, but it's hard to forge with.",Carapace-Red.png,
714,Rath Gleam,Rath-Glimm,Lueur Rath,Elixir de Rath,Rath: lucore,火竜の煌液,Flesh,,7,99,,2500,,Liquid-Yellow.png,
715,Firegleam Dollop,Feuerglanzklecks,Amas de feu luisant,Gota ígnea,Grumo fiambaleno,煌炎の雫,Flesh,,9,99,,7500,,Liquid-Yellow.png,
716,Monoblos Carapace,MonoblosRückenpanzer,Cuirasse Monoblos,Coraza de Monoblos,Monoblos: carapace,一角竜の堅殻,Flesh,,6,99,,1850,,Shell-Red.png,
717,Monoblos Cortex,Monoblos-Kortex,Cortex Monoblos,Corteza de Monoblos,Monoblos: corteccia,一角竜の重殻,Flesh,,8,99,,5550,,Shell-Red.png,
718,Monoblos Thoracic,Monoblos-Thorax,Thorax Monoblos,Tórax de Monoblos,Monoblos: torace,一角竜の堅甲,Flesh,,6,99,,2850,,Carapace-Red.png,
719,Monoblos Chine,Monoblos-Rückenkamm,Échine Monoblos,Placa de Monoblos,Monoblos: dorso,一角竜の重甲,Flesh,,8,99,,7125,,Carapace-Red.png,
720,Scarlet Finehorn,Puterrotes Feinhorn,Corne écarlate +,Gran asta roja,Monoblos: grancorno,上質な真紅の角,Flesh,,6,99,,2280,,Fang-Red.png,
721,Scarlet Stouthorn,Puterrotes Starkhorn,Grande corne écarlate,Cuerno fornido rojo,Monocorno scarlatto,堅牢な真紅の角,Flesh,,8,99,,6840,,Fang-Red.png,
722,Monoblos Heart,Monoblos-Herz,Cœur Monoblos,Corazón de Monoblos,Monoblos: cuore,モノブロスハート,Flesh,,6,99,,4600,,Carapace-Red.png,
723,W.Monoblos Cortex,WeißerMonoblosKortex,Cortex Monoblos ivoire,Corteza Monoblos b.,Monoblos b: cortec.,白一角竜の重殻,Flesh,,8,99,,7210,,Shell-White.png,
724,W.Monoblos Chine,WeißrMonoblosRcknkmm,Échine Monoblos ivoire,Placa de Monoblos b.,Monoblos b: dorso,白一角竜の重甲,Flesh,,8,99,,9260,,Carapace-White.png,
725,Argent Stouthorn,Silbernes Starkhorn,Grande corne d'argent,Cuerno fornido plata,Monocorno argenteo,堅牢な白銀の角,Flesh,,8,99,,8890,,Fang-White.png,
726,Diablos Cortex,Diablos-Kortex,Cortex Diablos,Placa de Diablos,Diablos: corteccia,角竜の重殻,Flesh,,8,99,,5850,"The rigid cortex of a Diablos, both harder and sturdier than its carapace.",Shell-Gold.png,
727,Diablos Chine,Diablos-Rückenkamm,Échine Diablos,Espinazo de Diablos,Diablos: dorso,角竜の重甲,Flesh,,8,99,,7500,"Tough Diablos backplate, strengthened by burning sands. An ideal material for armor.",Carapace-Gold.png,
728,Diablos Tailcase+,Diablos-Hartschwanz,Massue Diablos,Coladura Diablos,Diablos: coda dura,角竜の重尾甲,Flesh,,8,99,,7680,,Carapace-Gold.png,
729,Twisted Stouthorn,Gedrehtes Starkhorn,Grande corne tordue,Pitón sólido,Diablos: corno,堅牢なねじれた角,Flesh,,8,99,,7200,,Fang-Gold.png,
730,Diablos Hardhorn,Diablos-Harthorn,Vouge Diablos,Asta de Diablos,Diablos: corno duro,大地を穿つ剛角,Flesh,,9,99,,11530,An especially elegant Diablos horn with almost perfect shape. An extremely rare material.,Fang-Gold.png,
731,Blos Medulla,Blos-Rückenmark,Medulla à épines,Médula Blos,Bulbo spinoso,角竜の延髄,Flesh,,7,99,,6300,,Carapace-Red.png,
732,B.Diablos Cortex,SchwarzDiablosKortex,Cortex Diablos noire,Placa de Diablos-N,Diablos n: corteccia,黒角竜の重殻,Flesh,,8,99,,8200,A heavy Black Diablos cortex. Its weight reveals its overwhelming density and strength.,Shell-Grey.png,
733,B.Diablos Chine,SchwarzDiablRückkamm,Échine Diablos noire,Espinazo Diablos-N,Diablos n: dorso,黒角竜の重甲,Flesh,,8,99,,9045,"Finely honed Black Diablos backplate. Best described as black, hard, and heavy.",Carapace-Grey.png,
734,Blackcurl Stouthorn,SchwarzdrehStarkhorn,Grande corne noire,Pitón enroscado,Cornotorto nero+,堅牢な黒巻き角,Flesh,,8,99,,9000,,Fang-Grey.png,
735,Zinogre Shell,Zinogre-Panzer,Carapace Zinogre,Caparazón de Zinogre,Zinogre: corazza,雷狼竜の甲殻,Flesh,,4,99,,650,,Shell-Teal.png,
736,Zinogre Carapace,Zinogre-Rückenpanzer,Cuirasse Zinogre,Coraza de Zinogre,Zinogre: carapace,雷狼竜の堅殻,Flesh,,6,99,,1950,The teal carapace of a Zinogre. Its magnificence reveals the futility of facing the monarch.,Shell-Teal.png,
737,Zinogre Cortex,Zinogre-Kortex,Cortex Zinogre,Placa de Zinogre,Zinogre: corteccia,雷狼竜の重殻,Flesh,,8,99,,5850,The teal cortex of a Zinogre. The monarch's armor crushes wills with its immense power.,Shell-Teal.png,
738,Zinogre Shockfur,Zinogre-Schockfell,Peau élect Zinogre,Electropiel Zinogre,Zinogre: scossapelo,雷狼竜の帯電毛,Flesh,,4,99,,490,,Hide-White.png,
739,Zinogre Electrofur,Zinogre-Elektrofell,Fourr élect Zinogre,Electropelo Zinogre,Zinogre: elettropelo,雷狼竜の高電毛,Flesh,,6,99,,1470,,Hide-White.png,
740,Zinogre Electrofur+,Zinogre-Elektrofell+,Fourr élect Zinogre +,Electropelo Zinogre+,Zinogre: elettropelo+,雷狼竜の雷電毛,Flesh,,8,99,,4410,,Hide-White.png,
741,Zinogre Horn,Zinogre-Horn,Corne Zinogre,Cuerno de Zinogre,Zinogre: corno,雷狼竜の角,Flesh,,4,99,,840,,Fang-Teal.png,
742,Zinogre Horn+,Zinogre-Horn+,Corne Zinogre +,Cuerno de Zinogre+,Zinogre: corno+,雷狼竜の尖角,Flesh,,6,99,,2520,"A pointed Zinogre horn. When carved, it can be used to grant equipment incomparable power.",Fang-Teal.png,
743,Zinogre Hardhorn,Zinogre-Harthorn,Vouge Zinogre,Asta de Zinogre,Zinogre: corno duro,雷狼竜の剛角,Flesh,,8,99,,7560,"A mighty Zinogre horn. None can sand before its sky-shattering, awe-inspiring power.",Fang-Teal.png,
744,Zinogre Claw,Zinogre-Klaue,Griffe Zinogre,Garra de Zinogre,Zinogre: artiglio,雷狼竜の爪,Flesh,,4,99,,700,,Fang-Teal.png,
745,Zinogre Claw+,Zinogre-Klaue+,Griffe Zinogre +,Garra de Zinogre+,Zinogre: artiglio+,雷狼竜の尖爪,Flesh,,6,99,,2100,"A sharp, high voltage Zinogre claw. Its electrified attacks are truly brutal.",Fang-Teal.png,
746,Zinogre Hardclaw,Zinogre-Hartklaue,Serre Zinogre,Zarpa de Zinogre,Zinogre: sperone,雷狼竜の剛爪,Flesh,,8,99,,6300,,Fang-Teal.png,
747,Zinogre Tail,Zinogre-Schwanz,Queue Zinogre,Cola de Zinogre,Zinogre: coda,雷狼竜の尻尾,Flesh,,4,99,,1200,The plate-covered tail of a Zinogre. It wields deadly force when swung.,Carapace-Teal.png,
748,Zinogre Lash,Zinogre-Peitsche,Fouet Zinogre,Látigo de Zinogre,Zinogre: frusta,雷狼竜の靭尾,Flesh,,8,99,,9200,A superior Zinogre tail that wields incomparable destructive power.,Carapace-Teal.png,
749,Zinogre Shocker,Zinogre-Schocker,Carap élect Zinogre,Capar. eléc. Zinogre,Zinogre: fulmen,雷狼竜の蓄電殻,Flesh,,4,99,,800,,Carapace-Teal.png,
750,Zinogre Shocker+,Zinogre-Schocker+,Carap élect Zinogre +,Capar. eléc. Zinogre+,Zinogre: fulmen+,雷狼竜の高電殻,Flesh,,6,99,,2400,A Zinogre shell that stores and releases electricity. Grants a thunder god's power to gear.,Carapace-Teal.png,
751,Zinogre D-Shocker,ZinogreTodesschocker,Carap volt Zinogre,Capar. rayo Zinogre,Zinogre: fulgur,雷狼竜の雷電殻,Flesh,,8,99,,7200,,Carapace-Teal.png,
752,Zinogre Plate,Zinogre-Platte,Plaque Zinogre,Quilla de Zinogre,Zinogre: piastra,雷狼竜の逆鱗,Flesh,,5,99,,4850,,Scale-Teal.png,
753,Zinogre Jasper,Zinogre-Jaspis,Jaspe Zinogre,Jaspe de Zinogre,Zinogre: diaspro,雷狼竜の碧玉,Flesh,,7,99,,9700,A rare gem occasionally produced inside a Zinogre's body. The monarch's power swells within.,Monster-Jewel-Teal.png,
754,Zinogre Skymerald,Zinogre-Himmelsjuwel,Célémeraude Zinogre,Cielada Zinogre,Zinogre: cielverde,雷狼竜の天玉,Flesh,,9,99,,14200,,Monster-Jewel-Teal.png,
755,S.Zinogre Carapace,HöllZinogreRücknpnzr,Cuiras Zinogre styg,Coraza de Zinog-E,Zinogre s: carapace,獄狼竜の堅殻,Flesh,,6,99,,2500,,Shell-Grey.png,
756,S.Zinogre Cortex,HöllenZinogre-Kortex,Cortex Zinogre styg,Placa de Zinogre-E,Zinogre s: cortec.,獄狼竜の重殻,Flesh,,8,99,,6440,,Shell-Grey.png,
757,S.Zinogre Horn+,Höllen-Zinogre-Horn+,Corne Zinogre styg +,Cuerno de Zinog-E+,Zinogre s: corno+,獄狼竜の尖角,Flesh,,6,99,,3300,,Fang-Grey.png,
758,S.Zinogre Hardhorn,HöllnZinogreHarthorn,Vouge Zinogre styg,Asta de Zinogre-E,Zin. s: corno duro,獄狼竜の剛角,Flesh,,8,99,,8320,,Fang-Grey.png,
759,S.Zinogre Claw+,HöllenZinogre-Klaue+,Griffe Zinogre styg +,Garra de Zinog-E+,Zinogre s: artiglio+,獄狼竜の尖爪,Flesh,,6,99,,2730,,Fang-Grey.png,
760,S.Zinogre Hardclaw,HöllnZinogreHrtklaue,Serre Zinogre stygien,Zarpa de Zinogre-E,Zinogre s: sperone,獄狼竜の剛爪,Flesh,,8,99,,6930,,Fang-Grey.png,
761,S.Zinogre Tail,HöllenZinogreSchwanz,Queue Zinogre stygien,Cola de Zinog-E,Zinogre s: coda,獄狼竜の尻尾,Flesh,,6,99,,3200,,Carapace-Grey.png,
762,S.Zinogre Lash,HöllnZinogrePeitsche,Fouet Zinogre stygien,Látigo Zinogre-E,Zinogre s: frusta,獄狼竜の靭尾,Flesh,,8,99,,10120,A Stygian Zinogre's terrifyingly strong tail. Said to be able to slice through solid steel.,Carapace-Grey.png,
763,S.Zin Drakeshell,HöllZinogreDrchnpnzr,Coque Zinogre stygien,Escudo de Zinog-E,Zinogre s: corazza,獄狼竜の龍殻,Flesh,,6,99,,3120,,Carapace-Grey.png,
764,S.Zinogre Drakehold,HöllZinogreDrchnhlle,Sternum Zinogre styg,Agarre de Zinogre-E,Zinogre s: cor. drago,獄狼竜の滅龍殻,Flesh,,8,99,,7920,,Carapace-Grey.png,
765,Dracophage Bug,Dracophag-Käfer,Insecte dracophage,Bicho dragoenergét.,Insetto-drago,蝕龍蟲,Flesh,,6,99,,500,Dragonfell Berry-loving bugs that store up Dragon energy. A Stygian Zinogre's power source,Bug-Grey.png,
766,S.Zinogre Dragonhair,HöllZinogreDrchnhaar,Dracop Zinogre styg,Pelo dragón Zinog-E,Zinogre s: crine,獄狼竜の龍毛,Flesh,,6,99,,1900,,Hide-Grey.png,
767,S.Zin Dragonlocks,HöllZinogreDrchnlckn,Crinière Zinogre styg,Rizos de Zinogre-E,Zinogre s: crinedrago,獄狼竜の滅龍毛,Flesh,,8,99,,5700,,Hide-Grey.png,
768,S.Zinogre Umbrage,HöllZinoSchattnstein,Pénomb Zinogre styg,Ofensa de Zinogre-E,Zinogre s: onta,獄狼竜の昏玉,Flesh,,7,99,,9700,,Monster-Jewel-Grey.png,
769,S.Zinogre Skymerald,HöllnZinogreHmmlsjuw,Célémer Zinogre styg,Cielada de Zinogre-E,Zinogre s: cielverde,獄狼竜の天玉,Flesh,,9,99,,15620,,Monster-Jewel-Grey.png,
770,Brach Shell,Brachydios-Panzer,Carapace Brachydios,Caparazón de Brach,Brachydios: corazza,砕竜の甲殻,Flesh,,4,99,,1000,,Shell-Blue.png,
771,Brach Carapace,BrachydiosRückenpnzr,Cuirasse Brachydios,Coraza de Brach,Brachydios: carapace,砕竜の堅殻,Flesh,,6,99,,1500,"A hard Brachydios carapace. Glossy like obsidian, it adds a refined beauty to crafted gear.",Shell-Blue.png,
772,Brach Cortex,Brachydios-Kortex,Cortex Brachydios,Placa de Brach,Brachydios: corteccia,砕竜の重殻,Flesh,,8,99,,4500,The thick cortex of a Brachydios. Its stoic beauty adds strength and dignity to equipment.,Shell-Blue.png,
773,Brach Ebonshell,BrachydiosSchwrzpnzr,Coque noire Brachy,Brazal de Brach,Brachydios: cor. nr.,砕竜の黒曜甲,Flesh,,4,99,,980,"An obsidian Brachydios brace. Makes especially strong armor, perhaps due to the slime mold.",Carapace-Blue.png,
774,Brach Ebonshell+,BrachydiosSchwrzpnz+,Thorax noir Brachy,Brazal de Brach+,Brachydios: cor. nr.+,砕竜の堅黒曜甲,Flesh,,6,99,,1900,"A premium Brachydios brace. The slime coating may contain weird bacteria, so be careful.",Carapace-Blue.png,
775,Fine Brach Ebonshell,FeinBrachySchwrzpnzr,Échine noire Brachy,Brazal de Brach+,Brachydios: mitena,砕竜の重黒曜甲,Flesh,,8,99,,5700,,Carapace-Blue.png,
776,Brach Scalp,Brachydios-Skalp,Scalp Brachydios,Cráneo de Brach,Brachydios: calotta,砕竜の頭殻,Flesh,,4,99,,1180,"The large, protruding scalp of a Brachydios, covered in an explosive green substance.",Carapace-Blue.png,
777,Brach Scalp+,Brachydios-Skalp+,Scalp Brachydios +,Cráneo de Brach+,Brachydios: calotta+,砕竜の尖頭殻,Flesh,,6,99,,2430,A hard and sharp scalp piece from a fierce Brachydios. Even more explosive than usual.,Carapace-Blue.png,
778,Brach Crown,Brachydios-Krone,Couronne Brachydios,Corona de Brachydios,Brachydios: corona,砕竜の重頭殻,Flesh,,8,99,,7290,,Carapace-Blue.png,
779,Mystery Slime,Rätselschleim,Poisse étrange,Baba misteriosa,Melma mistero,なぞの粘菌,Flesh,,4,99,,1230,The explosive green substance found on Brachydios monsters. Handle with extreme care.,Liquid-YellowGreen.png,
780,Glowing Slime,Glanzschleim,Poisse luisante,Baba intensa,Melma lucente,光る粘菌,Flesh,,8,99,,3690,Highly explosive green slime found on a fierce Brachydios. Handle with extreme care.,Liquid-YellowGreen.png,
781,Brach Hammer,Brachydios-Hammer,Marteau Brachydios,Martillo Brach,Brachydios: martello,砕竜の拳,Flesh,,4,99,,1280,,Carapace-Blue.png,
782,Brach Pounder,Brachydios-Stampfer,Broyeur Brachydios,Pata de Brachydios,Brachydios: mazza,砕竜の剛拳,Flesh,,6,99,,2740,A Brachydios arm that buried countless foolhardy hunters. It's covered in green slime.,Carapace-Blue.png,
783,Brach Pounder+,Brachydios-Stampfer+,Broyeur Brachydios +,Pata Brachydios+,Brachydios: mazza+,砕竜の剛鉄拳,Flesh,,8,99,,8220,"The arm of an especially angry Brachydios. Strong and heavy, as if made of iron.",Carapace-Blue.png,
784,Brach Tail,Brachydios-Schwanz,Queue Brachydios,Cola Brachydios,Brachydios: coda,砕竜の尻尾,Flesh,,6,99,,1500,,Carapace-Blue.png,
785,Brach Lash,Brachydios-Peitsche,Fouet Brachydios,Látigo de Brachydios,Brachydios: frusta,砕竜の靭尾,Flesh,,8,99,,3200,,Carapace-Blue.png,
786,Brach Marrow,Brachydios-Mark,Moelle Brachydios,Tuétano de Brach,Brachydios: midollo,砕竜の骨髄,Flesh,,5,99,,2100,,Carapace-Blue.png,
787,Brach Gem,Brachydios-Edelstein,Gemme Brachydios,Gema de Brachydios,Brachydios: gemma,砕竜の宝玉,Flesh,,7,99,,9300,,Monster-Jewel-Blue.png,
788,Brach Pallium,Brachydios-Pallium,Pallium Brachydios,Coraza de Brachydios,Brachydios: pallio,砕竜の天殻,Flesh,,9,99,,14400,A legendary Brachydios shell. Those who craft it are said to rule the earth and seize the sky.,Mantle-Blue.png,
789,Brach Warhead,BrachydiosSprengkopf,Ogive de Brachydios,Ojiva Brach,Testata Brachydios,砕竜の弾頭殻,Flesh,,8,99,,9470,,Carapace-Blue.png,
790,Flashpoint Slime,Flammpunkt-Schleim,Poisse critique,Baba detonante,Melma instabile,臨界極まる粘菌,Flesh,,8,99,,4790,,Liquid-Red.png,
791,Brach Obliterator,BrachydiosAuslöscher,Destructeur Brachy,Desintegrador Brach,Obliteratore Brach,砕竜の撃滅拳,Flesh,,8,99,,10680,,Carapace-Blue.png,
792,Immortal Reactor,UnsterblicherReaktor,Réacteur immortel,Reactor inmortal,Reattore immortale,不滅の炉心殻,Flesh,,9,99,,18720,,Mantle-Blue.png,
793,Basarios Shell,Basarios-Panzer,Carapace Basarios,Caparazón Basarios,Basarios: corazza,岩竜の甲殻,Flesh,,4,99,,440,,Shell-Grey.png,
794,Basarios Carapace,BasariosRückenpanzer,Cuirasse Basarios,Coraza de Basarios,Basarios: carapace,岩竜の堅殻,Flesh,,6,99,,1320,,Shell-Grey.png,
795,Basarios Cortex,Basarios-Kortex,Cortex Basarios,Placa de Basarios,Basarios: corteccia,岩竜の重殻,Flesh,,8,99,,3960,,Shell-Grey.png,
796,Basarios Wing,Basarios-Flügel,Aile Basarios,Ala de Basarios,Basarios: ala,岩竜の翼,Flesh,,4,99,,1420,,Carapace-Grey.png,
797,Basarios Fellwing,Basarios-Balgflügel,Égide Basarios,Aladura de Basarios,Basarios: ala dura,岩竜の剛翼,Flesh,,8,99,,11000,,Carapace-Grey.png,
798,Basarios Tears,Basarios-Tränen,Larme Basarios,Lágrima de Basarios,Basarios: lacrima,岩竜の涙,Flesh,,6,99,,8888,,Ore-Pink.png,
799,R.Basarios Wing,RubinBasarios-Flügel,Aile Basarios rubis,Ala de Basarios-B,Basarios v: ala,桃岩竜の翼,Flesh,,6,99,,2080,,Carapace-Pink.png,
800,R.Basarios Fellwing,RubnBasriosBalgflügel,Égide Basarios rubis,Aladura Basarios r.,Basarios v: ala dura,桃岩竜の剛翼,Flesh,,8,99,,14300,,Carapace-Pink.png,
801,R.Basarios Carapace,RubinBasariosRcknpnz,Cuiras Basarios rubis,Caparaz. Basarios-B,Basarios v: carapace,桃岩竜の堅殻,Flesh,,6,99,,1860,,Shell-Pink.png,
802,R.Basarios Cortex,RubinBasariosKortex,Cortex Basarios rubis,Corteza Basarios r.,Basarios v: corteccia,桃岩竜の重殻,Flesh,,8,99,,5580,,Shell-Pink.png,
803,Gravios Shell,Gravios-Panzer,Carapace Gravios,Caparazón de Gravios,Gravios: corazza,鎧竜の甲殻,Flesh,,4,99,,970,,Shell-White.png,
804,Gravios Carapace,Gravios-Rückenpanzer,Cuirasse Gravios,Coraza de Gravios,Gravios: carapace,鎧竜の堅殻,Flesh,,6,99,,1880,,Shell-White.png,
805,Gravios Cortex,Gravios-Kortex,Cortex Gravios,Placa de Gravios,Gravios: corteccia,鎧竜の重殻,Flesh,,8,99,,5640,,Shell-White.png,
806,Gravios Scalp,GraviosSchädelpanzer,Crâne Gravios,Cráneo de Gravios,Gravios: teschio,鎧竜の頭殻,Flesh,,4,99,,2550,,Carapace-White.png,
807,Gravios Crown,Gravios-Krone,Couronne Gravios,Corona de Gravios,Gravios: corona,鎧竜の重頭殻,Flesh,,8,99,,7650,,Carapace-White.png,
808,Gravios Medulla,Gravios-Hirnstamm,Cerveau Gravios,Médula de Gravios,Gravios: midollo,鎧竜の延髄,Flesh,,7,99,,6260,,Carapace-Red.png,
809,Gravios Wing,Gravios-Flügel,Aile Gravios,Ala de Gravios,Gravios: ala,鎧竜の翼,Flesh,,4,99,,1800,,Carapace-White.png,
810,Gravios Fellwing,Gravios-Balgflügel,Égide Gravios,Aladura de Gravios,Gravios: ala dura,鎧竜の剛翼,Flesh,,8,99,,7200,,Carapace-White.png,
811,Gravios Pallium,Gravios-Pallium,Carap céleste Gravios,Cap. celest. Gravios,Gravios: cor. eterea,鎧竜の天殻,Flesh,,9,99,,16000,,Mantle-White.png,
812,B.Gravios Carapace,SchwaGraviosRcknpnzr,Cuirasse Gravios noir,Coraza Gravios negro,Gravios nr: carapace,黒鎧竜の堅殻,Flesh,,6,99,,2910,,Shell-Grey.png,
813,B.Gravios Cortex,SchwarzGraviosKortex,Cortex Gravios noir,Placa Gravios negro,Gravios n: corteccia,黒鎧竜の重殻,Flesh,,8,99,,8730,,Shell-Grey.png,
814,B.Gravios Scalp,SchwarzGraviosSchädl,Crâne Gravios noir,Cráneo Gravios negro,Gravios nr: teschio,黒鎧竜の頭殻,Flesh,,4,99,,3825,,Carapace-Grey.png,
815,B.Gravios Crown,SchwarzGraviosKrone,Couronne Gravios noir,Corona Gravios n.,Gravios n: corona,黒鎧竜の重頭殻,Flesh,,8,99,,9560,,Carapace-Grey.png,
816,B.Gravios Pallium,SchwrzGraviosPallium,Carap céles Gravios n,Cap. cel. Gravios n.,Gravios n: cor. eter.,黒鎧竜の天殻,Flesh,,9,99,,16000,,Mantle-Grey.png,
817,Tigrex Scale,Tigrex-Schuppe,Écaille Tigrex,Escama de Tigrex,Tigrex: scaglia,轟竜の鱗,Flesh,,4,99,,520,,Scale-Yellow.png,
818,Tigrex Scale+,Tigrex-Schuppe+,Écaille Tigrex +,Escama de Tigrex+,Tigrex: scaglia+,轟竜の上鱗,Flesh,,6,99,,1560,,Scale-Yellow.png,
819,Tigrex Shard,Tigrex-Scherbe,Éclat Tigrex,Piedra Tigrex,Tigrex: scaglia pura,轟竜の厚鱗,Flesh,,8,99,,4680,,Scale-Yellow.png,
820,Tigrex Shell,Tigrex-Panzer,Carapace Tigrex,Caparazón de Tigrex,Tigrex: corazza,轟竜の甲殻,Flesh,,4,99,,750,,Shell-Yellow.png,
821,Tigrex Carapace,Tigrex-Rückenpanzer,Cuirasse Tigrex,Coraza de Tigrex,Tigrex: carapace,轟竜の堅殻,Flesh,,6,99,,2250,,Shell-Yellow.png,
822,Tigrex Cortex,Tigrex-Kortex,Cortex Tigrex,Placa de Tigrex,Tigrex: corteccia,轟竜の重殻,Flesh,,8,99,,6750,,Shell-Yellow.png,
823,Tigrex Tail,Tigrex-Schwanz,Queue Tigrex,Cola de Tigrex,Tigrex: coda,轟竜の尻尾,Flesh,,4,99,,1250,,Carapace-Yellow.png,
824,Tigrex Lash,Tigrex-Peitsche,Fouet Tigrex,Látigo de Tigrex,Tigrex: coda pelle,轟竜の靭尾,Flesh,,8,99,,7500,,Carapace-Yellow.png,
825,Tigrex Claw,Tigrex-Klaue,Griffe Tigrex,Garra de Tigrex,Tigrex: artiglio,轟竜の爪,Flesh,,4,99,,700,,Fang-Yellow.png,
826,Tigrex Claw+,Tigrex-Klaue+,Griffe Tigrex +,Garra de Tigrex+,Tigrex: artiglio+,轟竜の尖爪,Flesh,,6,99,,2100,,Fang-Yellow.png,
827,Tigrex Hardclaw,Tigrex-Hartklaue,Serre Tigrex,Zarpa de Tigrex,Tigrex: artiglio duro,轟竜の剛爪,Flesh,,8,99,,6300,,Fang-Yellow.png,
