_id,slot,defense,max_defense,fire_res,thunder_res,dragon_res,water_res,ice_res,gender,hunter_type,num_slots
2349,Legs,12,78,2,2,1,-2,-1,Both,Gunner,2
2350,Head,26,126,-2,4,2,-2,0,Both,Blade,2
2351,Body,26,126,-2,4,2,-2,0,Both,Blade,1
2352,Arms,26,126,-2,4,2,-2,0,Both,Blade,1
2353,Waist,26,126,-2,4,2,-2,0,Both,Blade,2
2354,Legs,26,126,-2,4,2,-2,0,Both,Blade,2
2355,Head,13,78,-1,5,3,-1,1,Both,Gunner,2
2356,Body,13,78,-1,5,3,-1,1,Both,Gunner,1
2357,Arms,13,78,-1,5,3,-1,1,Both,Gunner,1
2358,Waist,13,78,-1,5,3,-1,1,Both,Gunner,2
2359,Legs,13,78,-1,5,3,-1,1,Both,Gunner,2
2360,Head,22,124,-2,-4,1,1,1,Both,Blade,1
2361,Body,22,124,-2,-4,1,1,1,Both,Blade,1
2362,Arms,22,124,-2,-4,1,1,1,Both,Blade,2
2363,Waist,22,124,-2,-4,1,1,1,Both,Blade,3
2364,Legs,22,124,-2,-4,1,1,1,Both,Blade,0
2365,Head,11,77,-1,-3,2,2,2,Both,Gunner,1
2366,Body,11,77,-1,-3,2,2,2,Both,Gunner,1
2367,Arms,11,77,-1,-3,2,2,2,Both,Gunner,2
2368,Waist,11,77,-1,-3,2,2,2,Both,Gunner,3
2369,Legs,11,77,-1,-3,2,2,2,Both,Gunner,0
2370,Head,24,126,2,1,-2,-4,-1,Both,Blade,1
2371,Body,24,126,2,1,-2,-4,-1,Both,Blade,1
2372,Arms,24,126,2,1,-2,-4,-1,Both,Blade,1
2373,Waist,24,126,2,1,-2,-4,-1,Both,Blade,2
2374,Legs,24,126,2,1,-2,-4,-1,Both,Blade,0
2375,Head,12,78,3,2,-1,-3,0,Both,Gunner,1
2376,Body,12,78,3,2,-1,-3,0,Both,Gunner,1
2377,Arms,12,78,3,2,-1,-3,0,Both,Gunner,1
2378,Waist,12,78,3,2,-1,-3,0,Both,Gunner,2
2379,Legs,12,78,3,2,-1,-3,0,Both,Gunner,0
2380,Head,24,126,-4,1,1,2,-2,Both,Blade,2
2381,Body,24,126,-4,1,1,2,-2,Both,Blade,2
2382,Arms,24,126,-4,1,1,2,-2,Both,Blade,1
2383,Waist,24,126,-4,1,1,2,-2,Both,Blade,1
2384,Legs,24,126,-4,1,1,2,-2,Both,Blade,1
2385,Head,12,78,-3,2,2,3,-1,Both,Gunner,1
2386,Body,12,78,-3,2,2,3,-1,Both,Gunner,2
2387,Arms,12,78,-3,2,2,3,-1,Both,Gunner,1
2388,Waist,12,78,-3,2,2,3,-1,Both,Gunner,1
2389,Legs,12,78,-3,2,2,3,-1,Both,Gunner,1
2390,Head,23,125,2,0,1,-3,0,Both,Blade,2
2391,Body,23,125,2,0,1,-3,0,Both,Blade,2
2392,Arms,23,125,2,0,1,-3,0,Both,Blade,0
2393,Waist,23,125,2,0,1,-3,0,Both,Blade,0
2394,Legs,23,125,2,0,1,-3,0,Both,Blade,2
2395,Head,12,78,3,1,2,-2,1,Both,Gunner,2
2396,Body,12,78,3,1,2,-2,1,Both,Gunner,2
2397,Arms,12,78,3,1,2,-2,1,Both,Gunner,0
2398,Waist,12,78,3,1,2,-2,1,Both,Gunner,0
2399,Legs,12,78,3,1,2,-2,1,Both,Gunner,2
2400,Head,23,125,2,0,0,0,-4,Both,Blade,2
2401,Body,23,125,2,0,0,0,-4,Both,Blade,1
2402,Arms,23,125,2,0,0,0,-4,Both,Blade,0
2403,Waist,23,125,2,0,0,0,-4,Both,Blade,0
2404,Legs,23,125,2,0,0,0,-4,Both,Blade,3
2405,Head,12,78,3,1,1,1,-3,Both,Gunner,2
2406,Body,12,78,3,1,1,1,-3,Both,Gunner,1
2407,Arms,12,78,3,1,1,1,-3,Both,Gunner,0
2408,Waist,12,78,3,1,1,1,-3,Both,Gunner,0
2409,Legs,12,78,3,1,1,1,-3,Both,Gunner,3
2410,Head,26,126,-2,0,-4,2,2,Male,Blade,1
2411,Body,26,126,-2,0,-4,2,2,Male,Blade,1
2412,Arms,26,126,-2,0,-4,2,2,Male,Blade,1
2413,Waist,26,126,-2,0,-4,2,2,Male,Blade,1
2414,Legs,26,126,-2,0,-4,2,2,Male,Blade,2
2415,Head,13,78,-1,1,-3,3,3,Male,Gunner,2
2416,Body,13,78,-1,1,-3,3,3,Male,Gunner,1
2417,Arms,13,78,-1,1,-3,3,3,Male,Gunner,1
2418,Waist,13,78,-1,1,-3,3,3,Male,Gunner,2
2419,Legs,13,78,-1,1,-3,3,3,Male,Gunner,1
2420,Head,26,126,-2,0,-4,2,2,Female,Blade,1
2421,Body,26,126,-2,0,-4,2,2,Female,Blade,1
2422,Arms,26,126,-2,0,-4,2,2,Female,Blade,1
2423,Waist,26,126,-2,0,-4,2,2,Female,Blade,1
2424,Legs,26,126,-2,0,-4,2,2,Female,Blade,2
2425,Head,13,78,-1,1,-3,3,3,Female,Gunner,2
2426,Body,13,78,-1,1,-3,3,3,Female,Gunner,1
2427,Arms,13,78,-1,1,-3,3,3,Female,Gunner,1
2428,Waist,13,78,-1,1,-3,3,3,Female,Gunner,2
2429,Legs,13,78,-1,1,-3,3,3,Female,Gunner,1
2430,Body,20,122,0,-3,2,-3,1,Both,Blade,1
2431,Arms,20,122,0,-3,2,-3,1,Both,Blade,1
2432,Legs,20,122,0,-3,2,-3,1,Both,Blade,1
2433,Body,10,76,1,-2,3,-2,2,Both,Gunner,1
2434,Arms,10,76,1,-2,3,-2,2,Both,Gunner,1
2435,Legs,10,76,1,-2,3,-2,2,Both,Gunner,1
2436,Head,18,120,-2,2,0,-2,0,Both,Blade,1
2437,Body,18,120,-2,2,0,-2,0,Both,Blade,1
2438,Arms,18,120,-2,2,0,-2,0,Both,Blade,1
2439,Waist,18,120,-2,2,0,-2,0,Both,Blade,0
2440,Legs,18,120,-2,2,0,-2,0,Both,Blade,1
2441,Head,8,74,-1,3,1,-1,1,Both,Gunner,1
2442,Body,8,74,-1,3,1,-1,1,Both,Gunner,1
2443,Arms,8,74,-1,3,1,-1,1,Both,Gunner,1
2444,Waist,8,74,-1,3,1,-1,1,Both,Gunner,0
2445,Legs,8,74,-1,3,1,-1,1,Both,Gunner,1
2446,Head,5,73,-4,-1,1,-2,2,Both,Both,0
2447,Head,6,73,0,0,0,0,0,Both,Both,0
2448,Head,11,77,2,2,2,2,2,Both,Both,2
2449,Head,11,77,0,0,0,0,0,Both,Both,2
2450,Arms,31,117,3,3,3,3,3,Both,Blade,2
2451,Arms,15,76,4,4,4,4,4,Both,Gunner,2
2452,Head,33,116,-5,2,3,-1,-1,Both,Blade,1
2453,Body,33,116,-5,2,3,-1,-1,Both,Blade,0
2454,Arms,33,116,-5,2,3,-1,-1,Both,Blade,0
2455,Waist,33,116,-5,2,3,-1,-1,Both,Blade,0
2456,Legs,33,116,-5,2,3,-1,-1,Both,Blade,1
2457,Head,16,76,-4,3,4,0,0,Both,Gunner,1
2458,Body,16,76,-4,3,4,0,0,Both,Gunner,0
2459,Arms,16,76,-4,3,4,0,0,Both,Gunner,0
2460,Waist,16,76,-4,3,4,0,0,Both,Gunner,0
2461,Legs,16,76,-4,3,4,0,0,Both,Gunner,1
2462,Head,36,117,-4,0,2,3,-2,Both,Blade,2
2463,Body,36,117,-4,0,2,3,-2,Both,Blade,0
2464,Head,18,77,-3,1,3,4,-1,Both,Gunner,2
2465,Body,18,77,-3,1,3,4,-1,Both,Gunner,0
2466,Head,31,117,2,-1,1,-1,-1,Both,Blade,1
2467,Body,31,117,2,-1,1,-1,-1,Both,Blade,1
2468,Arms,31,117,2,-1,1,-1,-1,Both,Blade,1
2469,Waist,31,117,2,-1,1,-1,-1,Both,Blade,1
2470,Legs,31,117,2,-1,1,-1,-1,Both,Blade,1
2471,Head,15,76,3,0,2,0,0,Both,Gunner,1
2472,Body,15,76,3,0,2,0,0,Both,Gunner,1
2473,Arms,15,76,3,0,2,0,0,Both,Gunner,2
2474,Waist,15,76,3,0,2,0,0,Both,Gunner,1
2475,Legs,15,76,3,0,2,0,0,Both,Gunner,1
2476,Head,40,117,2,3,-4,-3,2,Both,Blade,2
2477,Body,40,117,2,3,-4,-3,2,Both,Blade,2
2478,Arms,40,117,2,3,-4,-3,2,Both,Blade,2
2479,Waist,40,117,2,3,-4,-3,2,Both,Blade,0
2480,Legs,40,117,2,3,-4,-3,2,Both,Blade,3
2481,Head,20,77,3,4,-3,-2,3,Both,Gunner,2
2482,Body,20,77,3,4,-3,-2,3,Both,Gunner,2
2483,Arms,20,77,3,4,-3,-2,3,Both,Gunner,2
2484,Waist,20,77,3,4,-3,-2,3,Both,Gunner,0
2485,Legs,20,77,3,4,-3,-2,3,Both,Gunner,3
2486,Head,36,117,-4,0,2,0,0,Both,Blade,2
2487,Body,36,117,-4,0,2,0,0,Both,Blade,1
2488,Arms,36,117,-4,0,2,0,0,Both,Blade,1
2489,Waist,36,117,-4,0,2,0,0,Both,Blade,0
2490,Legs,36,117,-4,0,2,0,0,Both,Blade,1
2491,Head,18,77,-3,1,3,1,1,Both,Gunner,1
2492,Body,18,77,-3,1,3,1,1,Both,Gunner,1
2493,Arms,18,77,-3,1,3,1,1,Both,Gunner,1
2494,Waist,18,77,-3,1,3,1,1,Both,Gunner,0
2495,Legs,18,77,-3,1,3,1,1,Both,Gunner,1
2496,Head,36,117,1,-3,3,1,-5,Both,Blade,1
2497,Body,36,117,1,-3,3,1,-5,Both,Blade,2
2498,Arms,36,117,1,-3,3,1,-5,Both,Blade,1
2499,Waist,36,117,1,-3,3,1,-5,Both,Blade,1
2500,Legs,36,117,1,-3,3,1,-5,Both,Blade,2
2501,Head,18,77,2,-2,4,2,-4,Both,Gunner,2
2502,Body,18,77,2,-2,4,2,-4,Both,Gunner,2
2503,Arms,18,77,2,-2,4,2,-4,Both,Gunner,1
2504,Waist,18,77,2,-2,4,2,-4,Both,Gunner,1
2505,Legs,18,77,2,-2,4,2,-4,Both,Gunner,2
2506,Head,44,119,0,-4,3,-4,3,Both,Blade,2
2507,Body,44,119,0,-4,3,-4,3,Both,Blade,2
2508,Arms,44,119,0,-4,3,-4,3,Both,Blade,1
2509,Waist,44,119,0,-4,3,-4,3,Both,Blade,1
2510,Legs,44,119,0,-4,3,-4,3,Both,Blade,3
2511,Head,22,78,1,-3,4,-3,4,Both,Gunner,2
2512,Body,22,78,1,-3,4,-3,4,Both,Gunner,2
2513,Arms,22,78,1,-3,4,-3,4,Both,Gunner,1
2514,Waist,22,78,1,-3,4,-3,4,Both,Gunner,1
2515,Legs,22,78,1,-3,4,-3,4,Both,Gunner,3
2516,Head,45,120,-3,-1,2,2,2,Both,Blade,2
2517,Body,45,120,-3,-1,2,2,2,Both,Blade,1
2518,Arms,45,120,-3,-1,2,2,2,Both,Blade,1
2519,Waist,45,120,-3,-1,2,2,2,Both,Blade,2
2520,Legs,45,118,-3,-1,2,2,2,Both,Blade,1
2521,Head,22,78,-2,0,3,3,3,Both,Gunner,2
2522,Body,22,78,-2,0,3,3,3,Both,Gunner,1
2523,Arms,22,78,-2,0,3,3,3,Both,Gunner,1
2524,Waist,22,78,-2,0,3,3,3,Both,Gunner,2
2525,Legs,22,78,-2,0,3,3,3,Both,Gunner,1
2526,Head,43,118,-5,-3,3,3,0,Both,Blade,0
2527,Body,43,118,-5,-3,3,3,0,Both,Blade,2
2528,Arms,43,118,-5,-3,3,3,0,Both,Blade,1
2529,Waist,43,118,-5,-3,3,3,0,Both,Blade,1
2530,Legs,43,118,-5,-3,3,3,0,Both,Blade,1
2531,Head,21,78,-4,-2,4,4,1,Both,Gunner,0
2532,Body,21,78,-4,-2,4,4,1,Both,Gunner,2
2533,Arms,21,78,-4,-2,4,4,1,Both,Gunner,1
2534,Waist,21,78,-4,-2,4,4,1,Both,Gunner,1
2535,Legs,21,78,-4,-2,4,4,1,Both,Gunner,1
2536,Head,38,117,-4,1,3,1,-1,Both,Blade,2
2537,Body,38,117,-4,1,3,1,-1,Both,Blade,0
2538,Arms,38,117,-4,1,3,1,-1,Both,Blade,1
2539,Waist,38,117,-4,1,3,1,-1,Both,Blade,1
2540,Legs,38,117,-4,1,3,1,-1,Both,Blade,1
2541,Head,19,77,-3,2,4,2,0,Both,Gunner,2
2542,Body,19,77,-3,2,4,2,0,Both,Gunner,0
2543,Arms,19,77,-3,2,4,2,0,Both,Gunner,1
2544,Waist,19,77,-3,2,4,2,0,Both,Gunner,1
2545,Legs,19,77,-3,2,4,2,0,Both,Gunner,1
2546,Head,38,117,0,0,3,0,-5,Both,Blade,1
2547,Body,38,117,0,0,3,0,-5,Both,Blade,1
2548,Arms,38,117,0,0,3,0,-5,Both,Blade,2
2549,Waist,38,117,0,0,3,0,-5,Both,Blade,1
2550,Legs,38,117,0,0,3,0,-5,Both,Blade,0
2551,Head,19,77,1,1,4,1,-4,Both,Gunner,1
2552,Body,19,77,1,1,4,1,-4,Both,Gunner,1
2553,Arms,19,77,1,1,4,1,-4,Both,Gunner,2
2554,Waist,19,77,1,1,4,1,-4,Both,Gunner,1
2555,Legs,19,77,1,1,4,1,-4,Both,Gunner,0
2556,Head,43,118,3,-2,2,0,-4,Both,Blade,1
2557,Body,43,118,3,-2,2,0,-4,Both,Blade,2
2558,Arms,43,118,3,-2,2,0,-4,Both,Blade,2
2559,Waist,43,118,3,-2,2,0,-4,Both,Blade,1
2560,Legs,43,118,3,-2,2,0,-4,Both,Blade,1
2561,Head,21,78,4,-1,3,1,-3,Both,Gunner,1
2562,Body,21,78,4,-1,3,1,-3,Both,Gunner,2
2563,Arms,21,78,4,-1,3,1,-3,Both,Gunner,2
2564,Waist,21,78,4,-1,3,1,-3,Both,Gunner,1
2565,Legs,21,78,4,-1,3,1,-3,Both,Gunner,1
2566,Head,36,117,-5,2,2,-5,-4,Both,Blade,1
2567,Body,36,117,-5,2,2,-5,-4,Both,Blade,1
2568,Arms,36,117,-5,2,2,-5,-4,Both,Blade,0
2569,Waist,36,117,-5,2,2,-5,-4,Both,Blade,2
2570,Legs,36,117,-5,2,2,-5,-4,Both,Blade,0
2571,Head,18,77,-4,3,3,-4,-3,Both,Gunner,1
2572,Body,18,77,-4,3,3,-4,-3,Both,Gunner,1
2573,Arms,18,77,-4,3,3,-4,-3,Both,Gunner,0
2574,Waist,18,77,-4,3,3,-4,-3,Both,Gunner,2
2575,Legs,18,77,-4,3,3,-4,-3,Both,Gunner,0
2576,Head,40,117,-3,-4,0,2,2,Both,Blade,1
2577,Body,40,117,-3,-4,0,2,2,Both,Blade,2
2578,Arms,40,117,-3,-4,0,2,2,Both,Blade,1
2579,Waist,40,117,-3,-4,0,2,2,Both,Blade,1
2580,Legs,40,117,-3,-4,0,2,2,Both,Blade,0
2581,Head,20,77,-2,-3,1,3,3,Both,Gunner,2
2582,Body,20,77,-2,-3,1,3,3,Both,Gunner,2
2583,Arms,20,77,-2,-3,1,3,3,Both,Gunner,1
2584,Waist,20,77,-2,-3,1,3,3,Both,Gunner,1
2585,Legs,20,77,-2,-3,1,3,3,Both,Gunner,0
2586,Head,47,120,1,0,1,-3,-1,Both,Blade,1
2587,Body,47,120,1,0,1,-3,-1,Both,Blade,1
2588,Arms,47,120,1,0,1,-3,-1,Both,Blade,1
2589,Waist,47,120,1,0,1,-3,-1,Both,Blade,1
2590,Legs,47,120,1,0,1,-3,-1,Both,Blade,0
2591,Head,24,79,2,1,2,-2,0,Both,Gunner,1
2592,Body,24,79,2,1,2,-2,0,Both,Gunner,1
2593,Arms,24,79,2,1,2,-2,0,Both,Gunner,2
2594,Waist,24,79,2,1,2,-2,0,Both,Gunner,1
2595,Legs,24,79,2,1,2,-2,0,Both,Gunner,0
2596,Head,40,117,-3,-4,1,3,0,Both,Blade,1
2597,Body,40,117,-3,-4,1,3,0,Both,Blade,2
2598,Arms,40,117,-3,-4,1,3,0,Both,Blade,2
2599,Waist,40,117,-3,-4,1,3,0,Both,Blade,2
2600,Legs,40,117,-3,-4,1,3,0,Both,Blade,1
2601,Head,20,77,-2,-3,2,4,1,Both,Gunner,1
2602,Body,20,77,-2,-3,2,4,1,Both,Gunner,2
2603,Arms,20,77,-2,-3,2,4,1,Both,Gunner,2
2604,Waist,20,77,-2,-3,2,4,1,Both,Gunner,2
2605,Legs,20,77,-2,-3,2,4,1,Both,Gunner,1
2606,Head,36,117,2,0,0,-1,-3,Both,Blade,1
2607,Body,36,117,2,0,0,-1,-3,Both,Blade,1
2608,Arms,36,117,2,0,0,-1,-3,Both,Blade,1
2609,Waist,36,117,2,0,0,-1,-3,Both,Blade,1
2610,Legs,36,117,2,0,0,-1,-3,Both,Blade,1
2611,Head,18,77,3,1,1,0,-2,Both,Gunner,2
2612,Body,18,77,3,1,1,0,-2,Both,Gunner,1
2613,Arms,18,77,3,1,1,0,-2,Both,Gunner,1
2614,Waist,18,77,3,1,1,0,-2,Both,Gunner,1
2615,Legs,18,77,3,1,1,0,-2,Both,Gunner,1
2616,Head,20,122,-4,-5,2,3,2,Both,Blade,1
2617,Body,20,122,-4,-5,2,3,2,Both,Blade,0
2618,Arms,20,122,-4,-5,2,3,2,Both,Blade,1
2619,Legs,20,122,-4,-5,2,3,2,Both,Blade,2
2620,Head,10,76,-3,-4,3,4,3,Both,Gunner,1
2621,Body,10,76,-3,-4,3,4,3,Both,Gunner,0
2622,Arms,10,76,-3,-4,3,4,3,Both,Gunner,1
2623,Legs,10,76,-3,-4,3,4,3,Both,Gunner,1
2624,Head,22,114,-2,0,2,0,0,Both,Blade,0
2625,Body,22,114,-2,0,2,0,0,Both,Blade,1
2626,Arms,22,114,-2,0,2,0,0,Both,Blade,1
2627,Waist,22,114,-2,0,2,0,0,Both,Blade,1
2628,Legs,22,114,-2,0,2,0,0,Both,Blade,1
2629,Head,11,75,-1,1,3,1,1,Both,Gunner,0
2630,Body,11,75,-1,1,3,1,1,Both,Gunner,1
2631,Arms,11,75,-1,1,3,1,1,Both,Gunner,1
2632,Waist,11,75,-1,1,3,1,1,Both,Gunner,1
2633,Legs,11,75,-1,1,3,1,1,Both,Gunner,1
2634,Head,18,114,3,0,2,0,0,Both,Blade,2
2635,Body,18,114,3,0,2,0,0,Both,Blade,0
2636,Arms,18,114,3,0,2,0,0,Both,Blade,1
2637,Waist,18,114,3,0,2,0,0,Both,Blade,0
2638,Legs,18,114,3,0,2,0,0,Both,Blade,0
2639,Head,9,75,4,1,3,1,1,Both,Gunner,2
2640,Body,9,75,4,1,3,1,1,Both,Gunner,0
2641,Arms,9,75,4,1,3,1,1,Both,Gunner,1
2642,Waist,9,75,4,1,3,1,1,Both,Gunner,0
2643,Legs,9,75,4,1,3,1,1,Both,Gunner,1
2644,Head,23,115,2,-3,0,2,1,Both,Blade,1
2645,Body,23,115,2,-3,0,2,1,Both,Blade,2
2646,Arms,23,115,2,-3,0,2,1,Both,Blade,1
2647,Waist,23,115,2,-3,0,2,1,Both,Blade,1
2648,Legs,23,115,2,-3,0,2,1,Both,Blade,1
2649,Head,11,75,3,-2,1,3,2,Both,Gunner,1
2650,Body,11,75,3,-2,1,3,2,Both,Gunner,2
2651,Arms,11,75,3,-2,1,3,2,Both,Gunner,1
2652,Waist,11,75,3,-2,1,3,2,Both,Gunner,1
2653,Legs,11,75,3,-2,1,3,2,Both,Gunner,1
2654,Head,26,116,0,-4,0,2,0,Both,Blade,1
2655,Body,26,116,0,-4,0,2,0,Both,Blade,1
2656,Arms,26,116,0,-4,0,2,0,Both,Blade,1
2657,Waist,26,116,0,-4,0,2,0,Both,Blade,2
2658,Legs,26,116,0,-4,0,2,0,Both,Blade,1
2659,Head,13,75,1,-3,1,3,1,Both,Gunner,2
2660,Body,13,75,1,-3,1,3,1,Both,Gunner,1
2661,Arms,13,75,1,-3,1,3,1,Both,Gunner,1
2662,Waist,13,75,1,-3,1,3,1,Both,Gunner,2
2663,Legs,13,75,1,-3,1,3,1,Both,Gunner,1
2664,Head,27,117,2,-1,0,0,-3,Both,Blade,0
2665,Body,27,117,2,-1,0,0,-3,Both,Blade,0
2666,Arms,27,117,2,-1,0,0,-3,Both,Blade,0
2667,Waist,27,117,2,-1,0,0,-3,Both,Blade,0
2668,Legs,27,117,2,-1,0,0,-3,Both,Blade,0
2669,Head,13,75,3,0,1,1,-2,Both,Gunner,0
2670,Body,13,75,3,0,1,1,-2,Both,Gunner,0
2671,Arms,13,75,3,0,1,1,-2,Both,Gunner,0
2672,Waist,13,75,3,0,1,1,-2,Both,Gunner,0
2673,Legs,13,75,3,0,1,1,-2,Both,Gunner,0
2674,Head,28,116,-1,-3,0,2,-2,Both,Blade,0
2675,Body,28,116,-1,-3,0,2,-2,Both,Blade,0
2676,Arms,28,116,-1,-3,0,2,-2,Both,Blade,0
2677,Waist,28,116,-1,-3,0,2,-2,Both,Blade,0
2678,Legs,28,116,-1,-3,0,2,-2,Both,Blade,0
2679,Head,14,75,0,-2,1,3,-1,Both,Gunner,0
2680,Body,14,75,0,-2,1,3,-1,Both,Gunner,0
2681,Arms,14,75,0,-2,1,3,-1,Both,Gunner,0
2682,Waist,14,75,0,-2,1,3,-1,Both,Gunner,0
2683,Legs,14,75,0,-2,1,3,-1,Both,Gunner,0
2684,Waist,40,117,2,0,0,-2,0,Both,Blade,0
2685,Legs,40,117,2,0,0,-2,0,Both,Blade,0
2686,Waist,20,77,3,1,1,-1,1,Both,Gunner,0
2687,Legs,20,77,3,1,1,-1,1,Both,Gunner,0
2688,Head,19,121,-4,0,0,1,2,Both,Blade,0
2689,Body,19,121,-4,0,0,1,2,Both,Blade,0
2690,Arms,19,121,-4,0,0,1,2,Both,Blade,0
2691,Waist,19,121,-4,0,0,1,2,Both,Blade,0
2692,Legs,19,121,-4,0,0,1,2,Both,Blade,0
2693,Head,9,75,-3,1,1,2,3,Both,Gunner,0
2694,Body,9,75,-3,1,1,2,3,Both,Gunner,0
2695,Arms,9,75,-3,1,1,2,3,Both,Gunner,0
2696,Waist,9,75,-3,1,1,2,3,Both,Gunner,0
2697,Legs,9,75,-3,1,1,2,3,Both,Gunner,0
2698,Head,18,120,-4,3,1,0,-1,Male,Blade,1
2699,Body,18,120,-4,3,1,0,-1,Male,Blade,1
2700,Arms,18,120,-4,3,1,0,-1,Male,Blade,1
2701,Waist,18,120,-4,3,1,0,-1,Male,Blade,1
2702,Legs,18,120,-4,3,1,0,-1,Male,Blade,2
2703,Head,9,75,-3,4,2,1,0,Male,Gunner,1
2704,Body,9,75,-3,4,2,1,0,Male,Gunner,1
2705,Arms,9,75,-3,4,2,1,0,Male,Gunner,1
2706,Waist,9,75,-3,4,2,1,0,Male,Gunner,1
2707,Legs,9,75,-3,4,2,1,0,Male,Gunner,2
2708,Head,18,120,-4,3,1,0,-1,Female,Blade,1
2709,Body,18,120,-4,3,1,0,-1,Female,Blade,1
2710,Arms,18,120,-4,3,1,0,-1,Female,Blade,1
2711,Waist,18,120,-4,3,1,0,-1,Female,Blade,1
2712,Legs,18,120,-4,3,1,0,-1,Female,Blade,2
2713,Head,9,75,-3,4,2,1,0,Female,Gunner,1
2714,Body,9,75,-3,4,2,1,0,Female,Gunner,1
2715,Arms,9,75,-3,4,2,1,0,Female,Gunner,1
2716,Waist,9,75,-3,4,2,1,0,Female,Gunner,1
2717,Legs,9,75,-3,4,2,1,0,Female,Gunner,2
2718,Head,16,118,-2,-5,-2,5,2,Both,Blade,1
2719,Body,16,118,-2,-5,-2,5,2,Both,Blade,2
2720,Arms,16,118,-2,-5,-2,5,2,Both,Blade,1
2721,Waist,16,118,-2,-5,-2,5,2,Both,Blade,0
2722,Legs,16,118,-2,-5,-2,5,2,Both,Blade,1
2723,Head,8,74,-1,-4,-1,6,3,Both,Gunner,2
2724,Body,8,74,-1,-4,-1,6,3,Both,Gunner,2
2725,Arms,8,74,-1,-4,-1,6,3,Both,Gunner,1
2726,Waist,8,74,-1,-4,-1,6,3,Both,Gunner,0
2727,Legs,8,74,-1,-4,-1,6,3,Both,Gunner,1
2728,Head,18,120,0,0,0,0,0,Male,Blade,2
2729,Body,18,120,0,0,0,0,0,Male,Blade,1
2730,Arms,18,120,0,0,0,0,0,Male,Blade,1
2731,Waist,18,120,0,0,0,0,0,Male,Blade,1
2732,Legs,18,120,0,0,0,0,0,Male,Blade,2
2733,Head,9,75,1,1,1,1,1,Male,Gunner,2
2734,Body,9,75,1,1,1,1,1,Male,Gunner,1
2735,Arms,9,75,1,1,1,1,1,Male,Gunner,1
2736,Waist,9,75,1,1,1,1,1,Male,Gunner,1
2737,Legs,9,75,1,1,1,1,1,Male,Gunner,2
2738,Head,18,120,0,0,0,0,0,Female,Blade,2
2739,Body,18,120,0,0,0,0,0,Female,Blade,1
2740,Arms,18,120,0,0,0,0,0,Female,Blade,1
2741,Waist,18,120,0,0,0,0,0,Female,Blade,1
2742,Legs,18,120,0,0,0,0,0,Female,Blade,2
2743,Head,9,75,1,1,1,1,1,Female,Gunner,2
2744,Body,9,75,1,1,1,1,1,Female,Gunner,1
2745,Arms,9,75,1,1,1,1,1,Female,Gunner,1
2746,Waist,9,75,1,1,1,1,1,Female,Gunner,1
2747,Legs,9,75,1,1,1,1,1,Female,Gunner,2
2748,Head,20,122,0,0,0,0,0,Male,Blade,1
2749,Body,20,122,0,0,0,0,0,Male,Blade,1
2750,Arms,20,122,0,0,0,0,0,Male,Blade,1
2751,Waist,20,122,0,0,0,0,0,Male,Blade,2
2752,Legs,20,122,0,0,0,0,0,Male,Blade,0
2753,Head,10,76,1,1,1,1,1,Male,Gunner,1
2754,Body,10,76,1,1,1,1,1,Male,Gunner,1
2755,Arms,10,76,1,1,1,1,1,Male,Gunner,1
2756,Waist,10,76,1,1,1,1,1,Male,Gunner,2
2757,Legs,10,76,1,1,1,1,1,Male,Gunner,0
2758,Head,20,122,0,0,0,0,0,Female,Blade,1
2759,Body,20,122,0,0,0,0,0,Female,Blade,1
2760,Arms,20,122,0,0,0,0,0,Female,Blade,1
2761,Waist,20,122,0,0,0,0,0,Female,Blade,2
2762,Legs,20,122,0,0,0,0,0,Female,Blade,0
2763,Head,10,76,1,1,1,1,1,Female,Gunner,1
2764,Body,10,76,1,1,1,1,1,Female,Gunner,1
2765,Arms,10,76,1,1,1,1,1,Female,Gunner,1
2766,Waist,10,76,1,1,1,1,1,Female,Gunner,2
2767,Legs,10,76,1,1,1,1,1,Female,Gunner,0
2768,Head,18,114,-2,3,0,-2,-1,Both,Blade,1
2769,Body,18,114,-2,3,0,-2,-1,Both,Blade,1
2770,Arms,18,114,-2,3,0,-2,-1,Both,Blade,1
2771,Waist,18,114,-2,3,0,-2,-1,Both,Blade,1
2772,Legs,18,114,-2,3,0,-2,-1,Both,Blade,1
2773,Head,9,75,-1,4,1,-1,0,Both,Gunner,1
2774,Body,9,75,-1,4,1,-1,0,Both,Gunner,1
2775,Arms,9,75,-1,4,1,-1,0,Both,Gunner,1
2776,Waist,9,75,-1,4,1,-1,0,Both,Gunner,1
2777,Legs,9,75,-1,4,1,-1,0,Both,Gunner,1
2778,Head,40,117,1,0,3,0,-4,Both,Blade,1
2779,Body,40,117,1,0,3,0,-4,Both,Blade,0
2780,Arms,40,117,1,0,3,0,-4,Both,Blade,1
2781,Waist,40,117,1,0,3,0,-4,Both,Blade,1
2782,Legs,40,117,1,0,3,0,-4,Both,Blade,1
2783,Head,20,77,2,1,4,1,-3,Both,Gunner,1
2784,Body,20,77,2,1,4,1,-3,Both,Gunner,0
2785,Arms,20,77,2,1,4,1,-3,Both,Gunner,1
2786,Waist,20,77,2,1,4,1,-3,Both,Gunner,1
2787,Legs,20,77,2,1,4,1,-3,Both,Gunner,1
2788,Head,47,120,-5,3,0,2,-2,Both,Blade,1
2789,Body,47,120,-5,3,0,2,-2,Both,Blade,1
